"point_id","x","y","slaves_1860","slaves_1850","slaves_1840","slaves_1830","slaves_1820","slaves_1810","slaves_1800","slaves_1790","peak_slave","peak_year","total_1790","total_1800","total_1810","total_1820","total_1830","total_1840","total_1850","total_1860","total_1870"
10190,40364,-366591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10191,65810,-366591,0,0,0,0,1.8961498737,0,0,0,1.8961498737,1820,0,0,0,23.1015,0,0,0,0,0
10192,91256,-366591,0,0,0,0,3.1602497101,0,0,0,3.1602497101,1820,0,0,0,38.5025,0,0,0,0,0
10193,116702,-366591,0,0,0,0,3.1602497101,0,0,0,3.1602497101,1820,0,0,0,38.5025,0,0,0,0,0
10194,142148,-366591,171.85357666,74.4929199219,57.689201355,5.2574901581,3.1602497101,0,0,0,171.85357666,1860,0,0,0,38.5025,50.5031,223.596,392.643,848.323,634.986
10195,167594,-366591,300.000793457,129.734863281,98.403755188,8.968000412,13.800740242,0,0,0,300.000793457,1860,0,0,0,71.8026,86.146,381.4,673.311,1459.48,1091.28
10196,193040,-366591,141.259841919,63.962802887,54.9567756653,51.7686042786,16.295671463,0,0,0,141.259841919,1860,0,0,0,79.4266,278.957,351.95,650.925,1409.91,1247.93
10197,218485,-366591,136.667175293,62.5089416504,47.9655609131,20.361782074,3.5370669365,0,0,0,136.667175293,1860,0,0,0,38.4704,216.004,343.822,694.376,1530.02,1495.32
10198,243931,-366591,586.77130127,251.985290527,104.782600403,15.5,2.3282499313,0,0,0,586.77130127,1860,0,0,0,34.59,202.09,362.369,1102.61,2630.25,2957.46
10199,269377,-366591,507.905944824,246.976852417,75.741569519,11.5263853073,2.3282499313,0,0,0,507.905944824,1860,0,0,0,34.59,142.83,287.279,1109.48,2176.41,2537.62
10200,294823,-366591,477.72442627,266.785003662,53.4110298157,8.787812233,2.3282499313,0,0,0,477.72442627,1860,0,0,0,34.59,101.989,234.771,1138.24,1790.95,1769.83
10201,320269,-366591,447.367614746,258.177337646,100.693214417,16.7931671143,2.3282499313,0,0,0,447.367614746,1860,0,0,0,34.59,107.189,457.333,1142.23,1867.71,1644.21
10202,345715,-366591,1377.61950684,507.590393066,194.269683838,32.5180778503,0.6795579791,0,0,0,1377.61950684,1860,0,0,0,10.096,168.822,499.395,1146.81,2916.04,2754.39
