"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
13081,17768,7619,16423,8616,23439,10079
22007,17991,7417,24128,10105,23421,7141
28057,15080,872,14526,1198,23401,1391
48293,20413,5804,34621,9247,23384,4103
29147,22215,8,28833,155,23370,566
29195,25148,1359,29448,3784,23370,1235
51147,14121,5631,14266,8458,23368,7756
18149,17911,19,10567,14,23363,66
21115,19748,1,17482,47,23356,56
21205,12808,25,9438,59,23333,349
13033,20596,13681,27268,22462,23316,11533
51169,25813,311,23814,503,23177,135
48007,7006,281,2106,136,23158,303
18047,17015,3,15335,6,23087,37
29119,11798,5,13539,2,23083,133
1099,22372,11324,27155,15727,23068,9614
22075,22545,6339,12524,6847,23042,4715
5019,20950,5409,23686,7367,22995,5413
17083,17023,44,13954,89,22985,93
16031,16121,31,7197,1,22952,64
48219,22340,1237,137,0,22935,837
1007,14357,4417,22791,7710,22915,5047
1111,19477,4973,24659,5717,22913,4607
22077,22488,12048,25289,17147,22802,8284
22111,17624,6482,20451,7448,22721,6182
17085,21821,8,22657,20,22678,107
47057,12506,177,13888,483,22657,107
16075,12363,14,NULL,NULL,22623,52
45011,17659,7639,34209,24647,22621,10015
39175,21648,0,20760,21,22615,44
5057,19661,7329,28285,14100,22609,6646
13107,17815,5900,25140,9990,22598,7562
5167,17895,2972,NULL,NULL,22591,8367
28039,11098,1285,6599,1827,22578,1829
12123,13168,3234,7103,2689,22570,4669
48179,31535,910,3405,2,22535,1097
19123,23602,52,29860,677,22381,254
16053,11712,7,NULL,NULL,22374,62
41015,13983,9,2044,1,22364,67
17173,23404,5,31693,75,22363,50
5083,15957,325,26350,640,22353,297
17145,19184,363,22088,814,22350,1866
41027,13395,16,8016,8,22346,101
13085,3590,1,4686,152,22330,105
22043,13330,3222,15958,4869,22309,3470
51163,24039,1972,21171,3528,22307,594
29083,19226,238,27242,842,22272,226
47111,12197,121,14559,732,22248,93
28139,15093,2743,14631,2801,22232,3544
47151,15413,3,12947,97,22228,21
5149,11940,427,26323,1759,22185,307
48233,34419,691,892,1,22150,558
17051,21946,411,28075,19,22140,980
48489,20084,105,NULL,NULL,22134,473
54047,71359,15899,47856,14667,22113,2107
22093,18369,9047,23009,13164,22102,11180
37131,26811,17093,22323,13062,22099,12895
13119,13274,1528,17894,3974,22084,1850
47133,14661,77,15854,299,22083,87
13199,19756,9777,25180,14730,21992,8605
47129,14304,307,11458,691,21987,806
28043,18409,9050,15727,11161,21906,9140
48341,14773,2,561,0,21904,336
13189,12627,5352,10325,5985,21875,8706
5003,24220,8881,25268,13276,21853,5640
13091,16483,4584,20127,8460,21796,6504
48457,10666,2230,10250,2207,21766,2390
5107,43997,25308,33535,26354,21757,13719
21051,20748,455,17789,494,21730,915
28101,19517,6183,23085,8950,21720,6567
41031,7130,5,NULL,NULL,21720,138
54043,20267,3,20491,30,21720,18
51075,9206,4432,9237,5230,21717,4180
26089,9321,8,10608,22,21708,66
19183,19406,16,19925,104,21704,146
26129,9680,2,8907,2,21699,39
13321,16682,8040,19147,9517,21679,5978
53003,12909,18,5831,1,21623,92
18119,11400,15,14053,89,21575,65
18153,21721,44,32439,120,21475,961
1087,26717,22287,26049,22039,21452,17729
55125,9332,0,6019,10,21430,35
21005,8618,386,10146,734,21421,433
48057,16592,818,3635,491,21381,565
16013,4598,9,8387,10,21376,39
37079,16741,8424,13083,6096,21362,7964
13291,6510,1,6918,64,21356,99
21167,14596,872,14063,2171,21331,765
37015,24350,14447,23039,13503,21282,13296
5029,15430,3423,22729,8298,21273,2385
18075,22572,85,24961,171,21253,60
13237,7798,4214,13876,10178,21218,5522
13303,18903,10801,28174,17393,21187,11173
29217,20540,15,28827,138,21159,102
45049,17425,9382,25126,16120,21090,11359
19191,21651,4,21729,18,21056,133
1091,27098,16832,39923,30846,21027,10872
5182,15694,976,NULL,NULL,21006,2229
41013,9430,1,9315,8,20978,35
37185,19652,12306,20266,13207,20972,10970
19019,22293,30,19748,18,20958,67
18147,16074,189,20676,837,20952,96
1013,24560,10985,29030,15373,20947,9095
53049,14674,15,12532,3,20920,79
19065,28581,39,27919,107,20880,198
55001,7566,6,8604,4,20875,633
48089,18463,4595,18897,7074,20874,2740
18049,16957,39,16879,6,20836,150
22029,20467,9462,14278,11941,20822,8513
19027,23431,3,20117,31,20816,83
21231,14700,391,17518,739,20813,316
22041,26088,10589,11989,5264,20767,6537
37115,17217,118,20132,432,20764,240
28153,16258,5799,14709,5843,20747,8071
29049,11588,331,15297,769,20743,290
22083,23824,10561,15769,10463,20725,7454
55119,17843,1,13641,24,20689,58
5113,11981,0,17216,46,20662,65
19105,20693,63,19050,83,20638,408
28025,18933,9717,20203,14105,20634,12017
55061,18282,0,16784,0,20574,69
29141,9476,166,12863,410,20565,131
37149,11395,1422,7640,1094,20510,918
48019,3892,19,4921,34,20485,98
55053,15151,6,17075,2,20449,400
53039,13455,6,10180,33,20318,50
22037,20198,10907,20055,14536,20267,9108
19021,21189,3,15981,0,20260,540
48253,19299,1110,24299,259,20202,2344
24029,15481,3868,16957,6162,20197,3056
13105,17835,6108,24125,12082,20166,5950
18015,16934,16,17970,7,20155,48
19087,18187,100,18640,264,20145,447
48123,20683,2786,23501,4753,20097,1876
16067,14394,34,NULL,NULL,20069,77
21027,14734,691,21034,1581,20059,409
21017,18178,2608,17462,5642,19985,1198
17041,19243,3,19591,58,19980,58
55067,19916,17,17062,10,19977,72
21003,12269,265,14882,910,19956,164
12059,10844,452,11557,1194,19927,1147
45081,14554,5330,20943,11189,19875,5230
19097,20754,4,21258,0,19848,61
18117,16877,144,17192,363,19840,170
21155,16887,1370,16330,2266,19820,1604
17033,20751,7,26281,38,19817,934
48161,12525,4918,20557,8772,19816,3193
48177,17845,3242,28055,8212,19807,1468
1107,21882,9784,25055,12951,19746,8211
48337,14893,0,25123,27,19719,53
48281,9418,285,9532,436,19677,632
39125,16792,295,22730,502,19614,173
28141,13889,677,13067,1089,19593,519
28031,13637,4733,16909,5224,19568,6825
28007,21335,9523,28851,13219,19564,8208
48117,13187,254,3942,68,19372,242
18123,17232,17,18078,193,19338,471
48299,5240,46,6520,62,19301,112
13019,12038,1842,22772,6263,19286,2063
48285,20174,2100,26418,4384,19263,1301
12079,14154,6723,16919,9410,19224,7460
45061,21832,14366,25318,17251,19220,12359
28051,27096,19488,39088,31197,19198,16018
28159,19246,8278,17139,6863,19198,8753
47159,12059,614,18548,2325,19166,410
47173,8498,2,11414,30,19109,22
17067,24574,18,30638,59,19104,52
29015,8737,22,14881,136,19056,58
55047,15418,2,15491,8,19051,88
5001,23355,5757,16103,4269,19019,4661
29157,14642,9,14898,228,18971,75
29143,31350,6336,19488,2097,18956,2999
19157,19300,26,19589,55,18914,220
21097,13704,573,16873,1750,18846,385
29229,14183,92,18315,236,18815,88
47075,23393,14336,25910,17710,18787,9465
13229,9678,2127,10749,2742,18758,1666
53001,9929,47,10920,9,18728,109
47041,10774,275,15434,835,18723,250
21001,14699,778,16503,1475,18656,503
48133,19526,344,23421,57,18583,335
17045,22550,101,27336,312,18576,64
51175,27195,15659,26302,16091,18570,6916
48503,17254,251,13657,3,18550,232
47085,11511,571,13908,1201,18538,463
29163,16706,1298,22556,3350,18516,1333
5043,15213,5154,21960,11789,18509,5144
19031,17791,1,17765,21,18499,52
51141,15282,1379,17195,1618,18490,1085
51127,4504,2314,4682,2791,18429,2484
13025,5891,773,NULL,NULL,18411,538
51079,4715,584,6937,1339,18403,1167
13011,6497,426,11244,2321,18395,427
36097,15044,106,14004,184,18343,159
13171,10240,4048,NULL,NULL,18317,5650
47171,15082,5,7201,131,18313,36
21147,12463,0,NULL,NULL,18306,1009
29155,38095,10255,19559,1533,18296,4899
42093,16730,35,14868,77,18267,256
47091,10765,138,13191,377,18244,378
13001,13246,3042,12318,2863,18236,3392
48035,10809,363,19013,848,18212,296
21099,14119,1495,18173,1991,18199,885
29186,12116,70,10607,386,18145,118
19043,21962,0,25576,26,18129,61
5047,10213,120,20638,382,18125,130
55103,17684,15,18809,13,18021,82
5067,22843,3466,23501,6203,17997,3000
5121,12520,168,18987,515,17969,128
47049,13288,2,7446,98,17959,31
5037,19551,5896,14042,6127,17870,3972
13231,7138,3201,19495,10159,17869,1837
13211,10280,4920,19717,13414,17868,4208
48145,21263,6955,35649,12612,17866,4524
5053,8294,569,9425,994,17853,390
5152,17144,1152,6247,1144,17835,1009
37199,14008,136,12072,233,17818,145
17181,17645,282,21856,211,17808,156
37011,12009,151,NULL,NULL,17797,709
28131,7013,1709,NULL,NULL,17786,3404
17005,14060,81,17075,160,17768,1080
19171,21413,46,22156,33,17767,60
19055,18483,1,17888,2,17764,48
17187,21587,318,23313,576,17707,303
13017,13633,4548,11863,4901,17634,6104
29053,15448,1196,20311,2878,17601,1207
1129,15372,5021,14454,6064,17581,4380
21207,11076,142,10861,207,17565,82
54065,8376,126,7848,177,17541,97
23021,17379,7,19887,7,17535,53
19083,22533,18,20921,46,17534,217
48165,12267,353,1255,0,17526,305
26019,7834,30,10638,89,17525,72
21161,18454,1829,18611,2868,17490,1120
42105,16483,47,29729,54,17457,67
51193,11042,5166,9313,4668,17454,4891
51025,17779,10428,19244,11366,17434,9992
5075,17267,147,20001,750,17415,137
5157,9587,14,NULL,NULL,17411,1783
18139,20393,235,19349,418,17392,132
28017,16891,6499,22846,12714,17392,7319
18121,14804,36,22214,160,17339,397
21213,11548,1606,11460,2165,17327,1625
1067,15286,6965,20943,10150,17302,4942
5141,7228,95,13509,220,17295,68
29003,11062,5,15282,130,17291,72
51071,17219,441,11623,755,17286,261
5135,6319,0,11688,83,17264,93
1057,16148,2573,16248,1866,17241,1969
18045,18706,5,20439,30,17240,28
48163,10112,60,8895,151,17217,584
13075,11822,3484,NULL,NULL,17212,4704
22027,19407,9755,25050,14938,17195,8733
48051,11177,3497,18687,8587,17187,2098
26079,4382,7,8097,23,17153,50
51029,10877,4845,15204,7570,17146,6014
47023,9569,1284,9090,1571,17131,1569
19047,18569,5,20041,25,17096,208
28061,16909,8437,18498,9013,17062,8970
21215,5680,356,7567,758,17061,258
5133,10156,957,16616,2296,17058,734
21203,12334,2,14473,125,17056,19
29013,15905,134,25869,238,17049,150
47181,11908,206,12062,845,17021,978
12041,2868,328,NULL,NULL,16939,897
13163,17468,9878,21379,12979,16930,9213
48415,20369,568,10924,1,16921,799
21079,9747,888,11894,2284,16912,346
54091,15010,193,16554,527,16895,125
19101,15818,50,15951,79,16843,214
55065,18142,2,20075,5,16836,39
17101,18540,183,22661,289,16833,1608
47139,12160,28,14116,284,16825,50
48289,9951,3796,16583,6878,16801,1202
29059,9314,0,13181,2,16777,35
17191,19008,2,25697,11,16760,42
28023,16493,6470,21630,10262,16732,5759
17147,14960,1,16376,12,16729,58
16045,9127,2,NULL,NULL,16719,20
19041,18504,0,12766,0,16667,69
19059,12574,2,8137,5,16667,29
5089,6041,1,10203,0,16653,30
55023,16351,4,16288,3,16644,296
13083,8666,135,4139,291,16633,145
48395,16157,6543,27454,14571,16622,3586
48287,8949,2139,13132,4039,16612,1807
54001,15474,193,15858,920,16589,124
54103,19347,5,23855,57,16583,24
17039,17253,35,18906,65,16561,87
55113,9475,0,6227,0,16557,77
25007,5829,139,4504,193,16535,511
13271,11715,4011,13288,4761,16500,6017
28129,14303,3235,16603,2899,16491,3776
47005,10662,316,12452,340,16489,321
17131,17149,18,19723,34,16434,47
17149,20552,10,28622,162,16430,275
26053,24370,2,23333,6,16427,678
12029,4479,648,NULL,NULL,16422,1386
5175,9371,620,4202,665,16408,1279
54041,19711,95,18281,239,16372,74
19095,16396,3,18409,5,16355,57
21119,17362,170,10791,157,16346,118
17023,16546,7,23517,74,16335,48
19067,21102,1,17119,17,16303,203
13241,7456,60,5562,156,16276,156
22049,15828,5127,13818,3996,16274,4853
16049,13542,12,12384,5,16267,42
51005,12128,471,14173,2945,16250,761
13027,15292,7452,23832,14086,16243,5729
17159,16299,27,15970,15,16233,78
18165,17683,18,18865,121,16212,24
55003,17375,4,21965,8,16157,48
41001,17295,26,18076,27,16134,57
5021,21258,3,23690,10,16083,56
13133,11193,5873,18512,11636,15994,6105
45009,16274,9085,18544,12874,15987,9837
21045,14327,45,15479,278,15955,85
18159,15856,1,17459,9,15936,29
51101,7563,3351,8547,4855,15935,2819
19145,21023,48,24002,262,15932,352
55129,10301,10,8196,3,15911,36
51051,20211,149,9199,7,15903,51
26011,9860,4,9640,6,15899,29
39067,17995,571,19076,612,15864,330
12045,9937,2385,NULL,NULL,15863,2962
21127,12134,41,20067,163,15860,33
51135,15141,6467,13462,7347,15853,6227
53055,2872,0,3603,0,15769,54
1065,19537,13809,27883,21987,15760,9301
5087,9068,3,16056,45,15717,28
19121,12295,2,15621,5,15679,46
19079,20032,15,19242,37,15673,50
29065,10445,1,13245,18,15657,55
22125,12395,8190,13449,11012,15625,7263
29135,10500,152,14375,503,15607,581
37121,13906,38,17245,343,15579,58
29121,16473,307,30868,1004,15566,353
19109,25314,9,21971,6,15543,44
12125,6043,1616,NULL,NULL,15535,3449
51077,17390,681,19856,939,15533,320
48371,11957,81,2071,2,15507,572
16047,9544,2,NULL,NULL,15464,37
55013,9214,13,9026,6,15457,81
28147,13512,6099,NULL,NULL,15443,6873
17127,14341,1018,14200,2584,15429,904
21103,10987,863,13716,1792,15416,419
55077,8516,0,10741,9,15404,77
17015,19507,84,18035,13,15387,123
28135,24081,15400,29078,20180,15378,8679
22127,16034,4995,18357,3931,15313,4702
51063,10462,532,14092,837,15279,280
18013,7024,3,7975,1,15242,53
29073,12195,2,12847,41,15222,27
48353,18963,748,11999,111,15216,715
29117,15771,336,19453,596,15195,367
45017,12256,8197,16634,12739,15175,6459
13161,8914,1824,6050,1593,15068,2224
19129,13050,15,15811,47,15059,57
39115,12747,495,16097,147,15054,432
51125,12752,3554,16821,5263,15020,1967
55007,11910,6,15987,8,15014,46
21225,14537,1324,19886,2414,15007,1808
51011,9148,2328,8904,3089,14973,3007
1029,10911,697,13385,711,14972,498
28013,15941,4346,17726,3812,14962,4149
19085,17600,9,23162,15,14928,25
54087,15720,17,21543,18,14926,19
13093,11474,6027,20554,12728,14918,7442
13221,7926,3556,18680,11338,14899,2566
22059,13011,1614,9402,1953,14890,1769
21191,9968,89,11985,261,14877,53
19023,17467,0,17119,1,14867,26
26113,6784,1,10606,15,14849,43
17139,13635,2,14630,4,14846,41
42057,10597,84,9703,94,14845,151
48255,14995,424,14942,793,14824,1377
12047,7705,3425,11825,5533,14799,5102
37041,11729,5462,11303,6159,14793,5070
48003,13450,279,975,1,14786,222
12065,9543,5641,17210,13114,14761,5340
55107,14794,12,11160,2,14755,61
13193,13170,8297,15016,10581,14740,8933
17189,13569,2,18759,73,14716,101
21065,12466,41,12273,106,14672,29
17125,15193,2,17377,10,14666,54
17193,19373,62,23052,470,14665,56
39121,10982,3,18601,44,14645,368
39111,15268,7,24244,90,14642,61
12013,7422,1189,7465,2140,14625,2011
13251,14919,7825,20202,12165,14593,6318
47033,14594,3565,16076,3611,14586,1843
48455,7539,2031,12768,3195,14585,1378
1075,14271,2101,17487,3180,14564,1643
54007,15152,119,23023,221,14523,59
13183,3874,1277,NULL,NULL,14464,3647
48351,10372,3446,10850,3864,14445,2901
28041,8366,1923,6050,1347,14400,3749
19141,18840,3,17262,2,14398,67
29133,20695,4941,14557,2006,14358,3440
22013,16726,8255,21776,9464,14353,6076
21069,10890,364,16066,1027,14348,183
21221,8870,1505,14539,3322,14339,1171
13191,6364,3690,6442,4978,14333,5149
19005,15982,3,17328,19,14330,113
51685,NULL,NULL,NULL,NULL,14273,1852
18111,11502,11,10504,20,14244,56
21123,10346,548,10701,785,14193,444
55099,14370,0,13795,6,14159,39
5079,14447,6998,15118,9967,14134,4223
47153,5915,0,4202,139,14112,21
29181,9096,2,13099,5,14100,49
17053,16606,55,17096,87,14081,85
48239,14040,1693,6471,2114,14075,988
26039,4971,109,3934,2,14074,51
5183,6832,928,NULL,NULL,14068,1968
51043,7942,1366,7468,1900,14034,746
54031,9308,239,9163,387,14025,354
48505,4393,17,3809,0,14018,19
29039,9185,0,16080,13,13982,14
37173,8387,70,10403,185,13981,76
48279,21896,1663,540,1,13977,598
48093,11865,2,27186,12,13974,53
19029,17919,14,19047,22,13956,35
1027,12400,2016,21006,2648,13932,2066
54089,15640,1038,18420,1130,13927,664
21175,11056,7,16259,34,13923,600
1041,14909,4639,23313,7514,13906,3254
13159,6135,3303,16552,11484,13900,3037
17061,17460,18,22363,62,13886,119
21025,15490,49,17540,260,13878,43
29151,10867,14,14283,149,13878,28
21135,13115,20,16887,141,13870,37
1023,17870,8857,18483,11503,13859,6012
48115,19185,1059,2320,2,13833,905
5169,18798,5691,NULL,NULL,13821,6213
17025,15815,5,18661,26,13815,47
47015,8537,200,10825,580,13801,168
5061,10878,2260,16898,3498,13789,2846
48389,17644,623,4392,82,13783,690
1119,20041,15297,28699,23322,13763,10316
47061,11512,15,8322,143,13703,37
5065,6766,54,14561,242,13696,175
29067,9653,2,16664,8,13684,30
48313,6749,2236,10318,2757,13664,2719
17017,14539,2,17372,4,13642,419
21233,14244,1137,20974,2643,13621,563
55011,14202,2,16006,1,13587,37
48059,7929,2,12973,4,13544,141
48487,17748,1636,12000,70,13535,1086
29223,8638,4,15181,23,13521,38
54063,11584,346,13055,673,13502,91
21109,10677,0,10734,22,13494,16
37143,9178,4303,11054,5589,13453,3347
39163,10274,16,13096,213,13435,39
18131,12837,42,13312,2,13402,88
26141,13117,2,11249,3,13376,56
21153,11156,1,13654,54,13333,18
47161,7851,232,14860,1806,13324,188
51113,8187,1830,10055,3264,13308,1302
16043,8679,6,24606,20,13242,46
19197,19447,5,17951,4,13229,57
1035,17762,8061,21433,10079,13228,6149
37187,13488,6083,11062,5503,13228,6587
5081,9211,2884,13597,5698,13171,2519
37137,9850,3611,9966,3773,13144,2632
28005,15573,8440,22954,12590,13131,5427
13023,9642,2744,NULL,NULL,13063,3564
5041,20770,9972,15274,12129,13008,6216
53051,6914,2,NULL,NULL,13001,52
21033,13073,923,14063,2520,12984,668
48343,12576,3384,10439,3706,12934,2976
21159,10201,2,7291,4,12929,896
28077,10215,3861,13080,5147,12929,3974
51111,12523,5286,12780,6811,12914,4487
29063,7226,0,12531,64,12892,1459
19007,16015,124,28701,486,12887,63
12043,2950,1013,NULL,NULL,12884,1588
47007,7811,455,6329,391,12876,470
48387,15682,3821,28564,8673,12860,2233
18125,12797,15,19684,133,12845,39
16041,8457,1,NULL,NULL,12786,28
18009,14792,2,15820,40,12766,49
16079,20876,2,13963,18,12765,26
29115,16815,225,25253,668,12761,86
17129,9248,14,12796,107,12705,76
21031,9586,72,15805,561,12690,48
51007,7815,3995,8720,5490,12690,2932
28161,12502,5538,21519,11182,12678,4805
48445,16286,598,1474,1,12651,605
17123,13334,6,15679,41,12640,44
13079,5816,3363,8310,4922,12630,2818
21197,6674,94,6268,337,12613,79
51037,13368,5329,15785,8335,12586,3751
17087,6928,23,14331,164,12582,1006
19175,13712,9,16616,70,12534,89
28065,13540,7408,12860,6757,12487,7477
21219,11364,1881,16488,5343,12460,996
19075,14132,2,13574,11,12453,28
19037,15034,2,15375,0,12439,41
29011,11113,1,16747,24,12402,47
48063,7849,2984,9551,4415,12401,2163
5137,6294,0,8946,94,12394,11
51131,16966,9174,16672,9314,12389,4528
29017,9167,0,14576,30,12363,32
5161,10192,144,NULL,NULL,12332,532
51133,10185,4343,10777,4267,12330,3123
28111,8745,2411,7685,2581,12250,2451
5049,6657,0,12193,44,12245,40
51081,16155,8861,11890,7393,12243,7321
29139,11097,539,15604,1176,12236,201
29123,9366,32,11273,280,12226,34
37073,9254,5009,10455,4693,12197,4044
13049,5313,1697,4722,1189,12171,3464
19165,15825,1,16552,7,12167,32
21061,8085,102,10469,439,12161,169
47101,6269,122,6033,854,12161,199
51735,NULL,NULL,NULL,NULL,12150,78
22065,16444,10650,10676,9455,12093,7381
51183,12411,8223,13664,8962,12087,7023
19035,18598,13,16741,5,12072,66
13235,8204,3560,22835,13504,12010,3824
17185,14047,0,14913,45,11947,77
54023,8304,232,7838,253,11937,80
13149,5333,1226,11189,3756,11834,1159
26071,17184,4,15164,8,11817,14
5017,18990,10747,21987,17682,11800,6381
48131,13398,7,8964,8,11782,110
47039,8324,532,10093,1019,11757,338
47121,5160,254,6131,566,11753,116
21229,11168,1148,13940,1779,11717,742
48507,12696,64,1889,1,11677,89
1131,18739,14592,33810,27602,11670,8465
47087,9233,34,15036,302,11638,30
22123,14177,3178,6249,2724,11604,1822
21011,9114,472,13988,1336,11591,152
19119,14468,1,14624,4,11581,10
12037,6576,1391,5201,2487,11549,1589
28103,16826,12064,28503,23947,11545,8262
1037,10726,3878,16634,6256,11539,3582
26085,5338,1409,4939,5,11539,1058
48297,7846,18,3442,36,11531,502
16073,6375,0,4044,3,11526,23
5011,14029,4919,14518,4641,11508,3173
51103,9174,3635,9752,5139,11391,3184
19115,10290,0,12855,17,11387,60
19081,14604,1,12731,11,11341,56
21131,10941,0,8976,132,11310,22
1085,15417,12438,31894,28125,11299,8310
5109,7864,336,12565,918,11291,330
13053,13011,2277,5586,3864,11267,2123
21087,11249,609,11871,1343,11258,224
5127,7297,2,14302,22,11233,53
22091,9162,5081,9172,4573,11203,5974
41049,4871,0,4357,5,11173,55
37005,7734,209,7745,340,11155,140
51057,6690,3163,9105,5315,11151,4247
26097,10853,17,9249,11,11113,57
13005,8359,1086,NULL,NULL,11096,1704
53059,5207,0,2887,3,11066,46
17035,9936,1,14281,7,11048,38
13099,13151,6822,18122,11273,11008,5462
13109,6952,2583,NULL,NULL,11000,3205
13043,6672,2361,NULL,NULL,10998,2683
16021,5809,0,NULL,NULL,10972,29
21171,11799,351,13663,705,10963,231
51119,6319,2612,8852,4636,10959,1978
19077,13607,6,17374,2,10954,16
26001,6352,0,5703,9,10942,13
28097,13320,5968,17706,8927,10925,4967
1011,13462,9679,30196,25362,10914,7666
48379,2993,306,6787,616,10914,256
29149,9845,3,14681,9,10881,15
19189,13099,3,11914,2,10866,85
21187,8237,354,14248,943,10841,91
48403,7302,1892,8582,1679,10834,784
21041,7978,232,8110,530,10811,163
28143,16826,13315,18646,16910,10778,7918
19131,14043,0,13435,5,10776,21
48077,8351,82,17043,101,10752,57
19137,14467,16,16604,48,10740,25
18025,8379,0,12057,0,10713,24
19069,15472,3,14780,10,10680,38
48475,14917,374,2389,3,10658,522
29093,8041,48,8563,179,10630,138
18155,7092,11,9914,48,10613,32
48159,5101,395,9331,735,10605,417
28015,11177,6492,23139,13475,10597,3461
13317,10961,5618,23441,16598,10593,4535
1105,17358,11401,31222,24494,10591,7276
37043,5526,49,3909,158,10587,64
53043,10919,8,17539,13,10570,28
48315,8049,4210,10472,6725,10546,2325
19107,15492,3,21160,17,10511,50
48399,15016,404,20858,133,10501,192
48031,3657,103,4311,350,10497,69
13281,4538,1,3932,15,10471,41
28069,12277,7212,20348,11691,10456,6288
54085,10877,1,17875,26,10449,20
5105,4927,157,9402,910,10445,196
5077,21001,12791,24252,19003,10424,5761
45005,11362,7183,NULL,NULL,10419,7672
22025,11421,4015,10415,5195,10407,3280
19161,17007,1,16555,30,10350,31
18101,10608,29,12950,18,10334,10
19063,14871,1,9816,19,10302,65
21053,8886,30,8153,94,10272,39
48369,9583,242,1555,0,10269,119
29079,12220,18,16744,159,10261,59
28155,10580,2619,14853,3286,10253,2040
45065,8629,5318,NULL,NULL,10233,5083
48357,9380,0,1602,0,10223,39
29111,10984,467,15514,776,10211,323
16087,8378,0,11101,12,10198,18
25019,3559,108,2962,35,10172,688
16081,2639,0,NULL,NULL,10170,25
29173,8078,212,12913,610,10167,108
37103,11005,5163,8721,4096,10153,3289
29089,10859,1091,15653,3152,10144,532
22021,9004,2503,8593,3465,10132,1746
21169,8367,331,10453,794,10099,154
13173,5097,1543,NULL,NULL,10078,2390
51049,6360,3450,9195,6053,10052,3278
48127,10095,53,3460,29,9996,99
13167,8048,2675,12897,5557,9980,3489
37029,5598,2357,5640,2213,9980,1316
28157,13235,9428,18075,13904,9878,6992
16085,3663,0,NULL,NULL,9862,11
19091,13156,0,12182,4,9815,44
29185,8421,36,16412,184,9805,53
26119,4424,1,3755,1,9765,15
29153,6744,0,11926,16,9723,11
17079,11346,5,18157,69,9698,11
19025,15923,11,17090,11,9670,22
48429,8885,395,7980,4,9630,201
29085,4516,0,8741,7,9627,25
28021,10845,8239,17403,13608,9604,8104
26003,9250,2,7675,12,9601,612
19089,12734,0,12920,12,9566,25
13319,9250,4458,10078,5155,9563,3672
13155,9211,3433,10461,4916,9538,2472
21149,9355,60,13241,750,9531,55
21139,7029,78,10627,670,9519,21
5097,5370,20,12455,304,9487,22
13141,9979,7459,19189,14268,9429,6983
29025,8830,5,14605,278,9424,40
19147,14736,2,13845,4,9421,44
48335,11255,830,8956,192,9403,1060
54015,11942,66,10233,5,9386,6
28053,19093,13300,NULL,NULL,9375,6987
19073,14379,4,16023,1,9336,26
13273,12742,8208,22003,16607,9315,5700
21055,8648,109,13296,588,9315,76
55041,7542,0,6782,2,9304,76
29033,13847,258,23098,1019,9295,154
19039,8222,4,10736,43,9286,39
16009,6036,12,NULL,NULL,9285,28
13315,7905,2639,13486,5505,9255,3252
51159,6375,2213,7415,3071,9254,2804
19133,13916,1,16633,0,9243,33
48043,6434,44,5220,71,9232,104
54095,10026,12,16211,115,9208,14
29125,7282,1,10088,8,9176,24
54101,13719,1,9680,8,9154,14
13209,6284,2545,19638,7310,9123,2397
22081,9978,4746,11402,6212,9091,3595
48009,6110,19,6525,3,9054,40
1063,13600,11050,22717,19705,9045,7370
48237,7418,85,11817,118,9044,340
13289,7935,4771,10736,7396,9023,3724
5099,10700,3857,19344,6790,8997,2764
51115,7121,1755,8922,2513,8978,823
29081,11603,1,20466,28,8957,30
13287,8439,3112,10075,4018,8930,3712
13269,8311,4012,10839,5379,8906,3503
19117,10923,10,13462,83,8898,17
48083,12458,321,22618,253,8895,197
12067,2889,344,6710,1361,8870,1411
48405,7722,3009,11264,3453,8865,2016
37075,6432,0,4749,0,8861,17
26013,7151,0,6127,2,8860,635
18007,11912,11,12688,71,8854,42
29137,10688,513,18304,1223,8840,264
21223,5102,3,6512,142,8809,27
16035,8548,3,NULL,NULL,8761,18
19051,9199,8,13315,43,8753,7
13197,5477,3289,9147,5364,8742,2856
13253,6802,2611,NULL,NULL,8729,2916
28009,7723,3609,10245,5037,8729,3252
54075,10136,373,14740,445,8719,60
5117,10515,1942,13853,4481,8715,1064
54021,8050,1,11379,17,8693,1073
5025,6944,1704,13481,4334,8689,1059
26135,3447,1,2027,4,8640,14
21077,3867,100,4697,274,8589,113
5162,NULL,NULL,NULL,NULL,8582,4884
21091,5330,146,8512,566,8565,75
28019,8423,2516,14357,4169,8547,2574
48193,8488,2,15315,8,8517,46
18171,8545,0,10899,18,8508,11
48425,2577,3,3931,1,8490,57
21023,7422,63,10308,339,8488,29
26153,8953,6,8681,5,8485,11
17065,10010,2,18227,3,8457,31
19053,10539,1,16347,34,8457,152
29203,7087,0,11443,0,8441,17
29061,9502,30,17605,258,8433,23
47083,4794,362,6224,910,8426,193
13003,6188,1777,NULL,NULL,8375,1453
12077,3138,478,4700,2111,8365,1497
13165,9148,4542,11520,7296,8340,3380
5101,5963,1,10612,10,8330,9
21143,5924,532,9423,1799,8314,441
48307,8815,319,13405,189,8283,160
21007,8291,407,12690,1585,8249,238
17003,16061,5298,22741,7775,8238,2915
28119,21019,13254,11593,8864,8223,5724
54017,6970,1,12672,8,8202,111
5129,8124,0,14825,104,8195,12
5095,17327,8407,19907,12526,8149,3330
28037,9286,3798,15193,6823,8118,2791
5039,10522,4186,12621,4657,8116,3400
