"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
53073,70317,57,49511,56,201140,1929
17019,132436,6770,51829,950,201081,24946
36007,212661,1290,78809,725,200600,9614
13245,135601,42513,58886,28390,200549,108633
26145,190752,18777,89290,343,200169,38114
18039,106790,2219,49008,91,197559,11307
17167,146539,5923,91024,3633,197465,23335
39025,80530,999,29551,865,197363,2284
10005,73195,15079,46413,7938,197145,25115
23031,99402,188,68526,52,197131,1108
55101,141781,5289,57424,115,195408,21767
1117,32132,6071,26949,7641,195085,20732
48041,44895,9340,18919,8827,194851,21414
1125,109047,31303,47559,19026,194656,57611
54039,252925,14535,81457,6476,193063,14115
22019,145475,30239,62767,16562,192768,47782
12019,19535,2652,6116,2453,190865,18831
12109,30034,8213,13208,5454,190039,10684
9005,119856,845,70260,758,189927,2558
13215,158623,37929,36227,16747,189885,86403
16027,57662,123,25323,33,188923,1077
45007,98478,19218,69568,26335,187126,30020
28047,119489,19057,34658,10643,187105,41393
17143,189044,10157,100255,1737,186494,33030
15001,61332,33,NULL,NULL,185079,1020
42019,114639,513,72689,217,183862,2021
47187,25267,5051,24213,7828,183182,7941
36111,118804,4003,91769,2026,182493,10982
1003,49088,10309,18178,5110,182265,17105
26093,38233,229,17736,35,180967,809
12091,61175,3972,NULL,NULL,180822,16797
18163,165794,9547,77438,6548,179703,16347
13139,49739,5356,25730,4030,179684,13279
37025,68137,10811,26240,6095,178011,27219
45015,38196,18920,23487,18231,177843,44514
37133,82706,10511,14125,4238,177772,27672
55087,101794,3,49102,28,176695,1736
13117,12170,4,11940,1098,175511,4510
53005,62070,296,7937,6,175177,2221
39041,36107,877,27182,671,174214,5837
18157,89122,632,40063,387,172780,6913
12053,11205,2352,4997,2781,172778,8816
39103,65315,612,23598,114,172332,2027
47125,55645,10754,33672,13430,172331,32982
26121,149943,12649,40577,79,172188,24882
42007,206948,11153,78353,1235,170539,10676
42089,39567,588,22941,185,169842,22348
17113,83877,1241,68008,1118,169572,12426
37101,62936,14116,41401,10169,168878,25546
12005,67131,9894,NULL,NULL,168852,18180
37147,69942,30467,36340,18106,168148,57257
24013,52785,2175,33934,2006,167134,5332
55139,107928,52,62116,110,166994,2975
55139,107928,52,62116,110,166994,2975
39089,90242,1285,55590,432,166492,5701
55059,100615,957,32929,40,166426,11052
44003,112619,325,36378,266,166158,2405
9007,88865,1865,45637,367,165676,7727
19163,119067,1866,60000,572,165224,11728
18127,60279,69,20540,8,164343,4894
26147,107201,2393,52341,65,163040,3976
37057,79493,8622,29404,3744,162878,14421
29019,55202,3268,30533,4185,162642,15111
10001,65651,9570,32721,7561,162310,38913
45013,44187,16969,30355,26376,162233,31290
39057,94642,6514,29733,3970,161573,11681
39133,91798,2438,30307,192,161419,6687
28033,23891,14625,23130,17572,161252,35266
47165,36217,4118,25621,5386,160645,10311
55105,113913,2294,55538,157,160331,7978
26075,131994,7379,53426,399,160248,12739
45003,81038,21310,41849,22850,160099,39354
12015,12594,717,NULL,NULL,159978,9089
21117,120700,3861,70355,3228,159720,7359
