"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
645,40363.771,1236503.989,55.1819992,0,0,0,0,0,0,1445.098877,0.4017148,1703.233398,0.604506016,1.10871923,1223.313232,3.247732163,2.61547327,0.0251684,1159.878662,1159.878662,9.69520855,2.832271338,0.061228801,0.247678012
807,-1410055.949,1185612.069,1.7887499,0,0,0,0,0,0.0035,1381.522217,7.7869997,687.3010864,0.649182916,0.237039402,1197.215942,8.37818718,4.211713791,0.30845049,1159.93811,1159.93811,6.643846035,4.575937271,0.602340341,0.217470005
3499,2101486.531,727584.7887,318.1358337,7202,0,4589.99,0,0,1.300576,349.4233093,14.228919,472.5470581,0.0248628,15.77480507,1130.388184,36.59087372,3.484024048,0.585126042,1160.332275,1160.332275,34.89474487,3.578479767,0.558311999,0
640,-86866.029,1236503.989,22.5363274,0,0,0,0,0,0,2932.647949,0.8131025,2215.748779,0.473999888,0.266279697,1189.03479,2.832223177,1.869269133,0,1160.611084,1160.611084,3.021131754,1.84397161,0,0.193542004
10138,-1333718.069,-366591.4913,22.6580009,0,0,0,0,0,0.0235,875.361084,9.3954668,1323.109619,1.598446369,8.993817329,1108.623657,2.073485851,4.70906353,0.0284738,1161.032471,1161.032471,25.20042038,5.3476758,0.412026167,0.520046294
189,-1791745.349,1363733.789,2.093451,0,0,0,0,0,0.0036769,1248.124268,1.4675041,2299.026611,0.543268025,2.196525097,993.7584839,4.484704018,3.73912859,0.068444893,1161.276855,1161.276855,10.95142555,4.380241871,0.1057932,0.102421597
8056,-1257380.189,-10348.0513,101.1422501,0,0,0,0,0,0.05025,287.9342346,0.95375,1197.69751,1.293249965,22.9924984,1172.294189,4.329095841,5.297025681,0.049037002,1161.832397,1161.832397,12.06752205,4.915534496,0.098576799,0.433190644
1133,2177824.411,1134720.149,4637.427246,1311.35,0,170.842,0,0,11.2984333,4508.859863,5.1330786,3796.94873,1.071787596,2.502161026,1164.509644,6.400718689,2.007683039,0.290955812,1162.598267,1162.598267,12.40091896,1.867748857,0.639215589,0.118724801
7902,-1104704.429,15097.9087,61.5471916,0,0,0,0,0,0.0289641,478.1118469,0.3353797,950.9197998,0.928523064,1.100504279,1051.413574,4.219931126,6.930287838,0.0932431,1163.180664,1163.180664,7.899234772,8.078422546,0.140096501,0.085211895
8263,-61420.069,-35794.0113,13.0440006,0,0,0,0,0,0.6605,7018.07959,126.0559998,7729.383789,5.543499947,199.5705109,1096.624023,4.018500328,4.263000011,0.065499999,1163.329468,1163.329468,6.027500153,4.706749916,0.106749997,0.223250002
6798,-901136.749,193219.6287,44.2112503,0,0,0,0,0,0,736.7750854,5.6511378,964.8590088,0.3992939,5.996970654,1162.292236,3.727235794,4.261680603,0.0060304,1163.459473,1163.459473,0.175342202,4.421238422,0.0006417,0.151631907
848,-366771.589,1185612.069,0,0,0,0,0,0,0,2307.87207,1.7166952,2096.982178,0.810713947,23.9942646,1117.73938,4.660210133,0.683073938,0.0173824,1163.623169,1163.623169,0.783711731,0.886191249,0,0.183907703
