"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
23031,280,139666,1108,197131,785,186742,188,99402,52,68526
24001,1299,80548,6028,75087,4006,74930,1164,84169,1517,62411
24003,42860,370775,83484,537656,66428,489656,29708,206634,14136,39553
24005,53955,655615,209738,805029,151600,754292,17054,492428,12601,122349
24009,7689,34638,11930,88737,9773,74563,6667,15826,5046,10325
24011,3915,23143,4585,33066,4398,29772,3928,19462,4787,19216
24013,2840,96356,5332,167134,3433,150897,2175,52785,2006,33934
24015,3204,60430,6284,101108,3361,85951,2876,48408,3315,23759
24017,14736,72751,60031,146551,31411,120546,10835,32572,8572,16386
24019,9086,30623,9042,32618,8708,30674,9013,29666,9421,28669
24021,6344,114792,20148,233385,12429,195277,5083,71930,5399,52673
24023,61,26498,301,30097,128,29846,39,20420,107,20105
24025,12167,145930,31058,244826,20260,218590,7420,76722,5116,27965
24027,13899,118572,50188,287085,35730,247842,4049,36152,3772,16106
24029,3683,16695,3056,20197,3343,19197,3868,15481,6162,16957
24031,50756,579053,167315,971777,132256,873341,11527,340928,9235,32089
24033,247860,665071,556620,863420,502550,801515,31011,357395,11493,36147
24035,4080,25508,3298,47798,3560,40563,4458,16569,5814,16839
24037,9540,59895,15030,105151,12003,86211,7186,38915,7304,17030
24039,6639,19188,11192,26470,10172,24747,7300,19623,9476,26455
24041,5449,25604,4829,37782,5193,33812,5852,21578,6774,19620
24043,4752,113086,14133,147430,10247,131923,2585,91219,2113,49617
24045,14085,64540,23873,98733,19717,84644,10964,49050,6310,26815
24047,8100,30889,7022,51454,7754,46543,8059,23733,7025,21841
25001,1796,147925,4062,215888,3969,222230,1702,70286,897,27542
25003,2036,145110,3572,131219,2679,134953,1422,142135,1149,105259
25005,4795,474641,17832,548285,10856,534678,4702,398488,4003,318573
25007,307,8942,511,16535,359,14987,139,5829,193,4504
25009,6675,633632,27985,743159,18777,723419,2488,568831,2024,436477
25011,285,64317,796,71372,637,71535,177,54864,119,43600
25013,27794,443018,41644,463490,36935,456228,14737,429353,1757,231369
25015,2013,138813,3925,158080,2980,152251,342,103229,281,63327
25017,25358,1367034,70021,1503085,49310,1465396,13066,1238742,8583,669915
