"county","pop_2010","pop_1960","pop_1910"
13231,0.1,0.45,0.52
13233,0.13,0.16,0.28
13235,0.32,0.43,0.59
13237,0.26,0.54,0.73
13239,0.48,0.64,0.78
13241,0.01,0.01,0.03
13243,0.62,0.62,0.69
13245,0.54,0.31,0.48
13247,0.46,0.27,0.4
13249,0.23,0.56,0.63
13251,0.43,0.52,0.6
13253,0.33,0.38,NULL
13255,0.33,0.28,0.51
13257,0.11,0.14,0.23
13259,0.47,0.71,0.77
13261,0.52,0.53,0.73
13263,0.59,0.7,0.7
13265,0.6,0.62,0.74
13267,0.29,0.32,0.31
13269,0.39,0.48,0.5
13271,0.36,0.34,0.36
13273,0.61,0.64,0.75
13275,0.37,0.41,0.59
13277,0.29,0.3,0.33
13279,0.25,0.28,0.3
13281,0,0,0
13283,0.33,0.33,NULL
13285,0.33,0.33,0.59
13287,0.42,0.37,0.4
13289,0.41,0.6,0.69
13291,0,0,0.01
13293,0.28,0.28,0.55
13295,0.04,0.05,0.13
13297,0.16,0.3,0.4
13299,0.3,0.25,0.39
13301,0.62,0.63,0.69
13303,0.53,0.57,0.62
13305,0.2,0.21,0.25
13307,0.42,0.64,0.68
13309,0.35,0.32,NULL
13311,0.02,0.04,0.08
13313,0.04,0.05,0.11
13315,0.35,0.33,0.41
13317,0.43,0.51,0.71
13319,0.38,0.48,0.51
13321,0.28,0.48,0.5
15001,0.01,0,NULL
15003,0.02,0.01,NULL
15005,0,0,NULL
15007,0,0,NULL
15009,0.01,0,NULL
16001,0.01,0,0.01
16003,0,0,NULL
16005,0.01,0.01,0.01
16007,0,0,0
16009,0,0,NULL
16011,0,0,0
16013,0,0,0
16015,0,0,0
16017,0,0,0
16019,0.01,0,NULL
16021,0,0,NULL
16023,0,0,NULL
16025,0,0,NULL
16027,0.01,0,0
16029,0,0,NULL
16031,0,0,0
16033,0.01,0,NULL
16035,0,0,NULL
16037,0,0,0
16039,0.03,0.02,0
16041,0,0,NULL
16043,0,0,0
16045,0,0,NULL
16047,0,0,NULL
16049,0,0,0
16051,0,0,NULL
16053,0,0,NULL
16055,0,0,0
16057,0.01,0,0
16059,0,0,0
16061,0,0,NULL
16063,0,0,0
16065,0,0,NULL
16067,0,0,NULL
16069,0,0,0
16071,0,0,0
16073,0,0,0
16075,0,0,NULL
16077,0,0,NULL
16079,0,0,0
16081,0,0,NULL
16083,0,0,0
16085,0,0,NULL
16087,0,0,0
17001,0.03,0.02,0.03
17003,0.35,0.33,0.34
17005,0.06,0.01,0.01
17007,0.02,0,0
17009,0.18,0,0
17011,0.01,0,0.01
17013,0,0,0
17015,0.01,0,0
17017,0.03,0,0
17019,0.12,0.05,0.02
17021,0.01,0,0.01
17023,0,0,0
17025,0,0,0
17027,0.04,0,0.01
17029,0.04,0,0.01
17031,0.25,0.17,0.02
17033,0.05,0,0
17035,0,0,0
17037,0.06,0.01,0
17039,0.01,0,0
17041,0,0,0
17043,0.05,0,0.01
17045,0,0,0.01
17047,0,0,0.01
17049,0,0,0
17051,0.04,0.02,0
17053,0.01,0,0.01
17055,0,0,0
17057,0.03,0,0.01
17059,0,0.01,0.04
17061,0.01,0,0
17063,0.01,0,0
17065,0,0,0
17067,0,0,0
17069,0,0,0.02
17071,0,0,0
17073,0.02,0.01,0
17075,0.01,0,0
17077,0.14,0.07,0.08
17079,0,0,0
17081,0.08,0.03,0.01
17083,0,0,0.01
17085,0,0,0
17087,0.08,0,0.01
17089,0.06,0.02,0.01
17091,0.15,0.09,0.01
17093,0.06,0,0
17095,0.07,0.03,0.02
17097,0.07,0.04,0.01
17099,0.02,0,0
17101,0.1,0.01,0.01
17103,0.05,0.02,0
17105,0.05,0.02,0.01
17107,0.08,0.02,0.01
17109,0.05,0,0
17111,0.01,0,0
17113,0.07,0.01,0.02
17115,0.16,0.05,0.02
17117,0.01,0,0
17119,0.08,0.05,0.04
17121,0.04,0.03,0.02
17123,0,0,0
17125,0,0,0
17127,0.06,0.07,0.18
17129,0.01,0,0.01
17131,0,0,0
17133,0,0,0
17135,0.03,0,0.01
17137,0.06,0.03,0.04
17139,0,0,0
17141,0.01,0,0
17143,0.18,0.05,0.02
17145,0.08,0.02,0.04
17147,0,0,0
17149,0.02,0,0.01
17151,0.06,0.02,0.05
17153,0.32,0.36,0.38
17155,0.01,0,0
17157,0.1,0.05,0.05
17159,0,0,0
17161,0.09,0.03,0.01
17163,0.3,0.18,0.07
17165,0.04,0.03,0.03
17167,0.12,0.04,0.04
17169,0.03,0,0
17171,0,0,0
17173,0,0,0
17175,0,0,0
17177,0.09,0.03,0
17179,0.01,0,0
17181,0.01,0.02,0.01
17183,0.13,0.05,0.03
17185,0.01,0,0
17187,0.02,0.01,0.02
17189,0.01,0,0
17191,0,0,0
17193,0,0,0.02
17195,0.01,0,0
17197,0.11,0.06,0.01
17199,0.04,0.02,0.02
17201,0.12,0.04,0
17203,0,0,0
18001,0,0,0
18003,0.12,0.05,0.01
18005,0.02,0.01,0.01
18007,0,0,0.01
18009,0,0,0
18011,0.01,0,0
18013,0,0,0
18015,0,0,0
18017,0.01,0.01,0.01
18019,0.07,0.04,0.09
18021,0,0.01,0.01
18023,0,0,0
18025,0,0,0
18027,0.01,0,0.01
18029,0.01,0.01,0.01
18031,0,0,0
18033,0,0,0
18035,0.07,0.05,0.03
18037,0,0,0
18039,0.06,0.02,0
18041,0.01,0.02,0.03
18043,0.05,0.04,0.06
18045,0,0,0
18047,0,0,0
18049,0.01,0,0
18051,0.02,0.02,0.05
18053,0.07,0.04,0.03
18055,0,0,0
18057,0.03,0.01,0.02
18059,0.02,0,0.01
18061,0,0.01,0.01
18063,0.05,0.01,0.01
18065,0.02,0.01,0.01
18067,0.07,0.04,0.01
18069,0,0,0
18071,0.01,0,0.01
18073,0.01,0,0
18075,0,0,0.01
18077,0.02,0.02,0.03
18079,0.01,0.02,0.02
18081,0.01,0.01,0.02
18083,0.03,0.01,0.01
18085,0.01,0,0
18087,0,0,0
18089,0.26,0.17,0.01
18091,0.11,0.05,0.01
18093,0,0,0.01
18095,0.08,0.04,0.01
18097,0.27,0.14,0.09
18099,0,0,0
18101,0,0,0
18103,0.05,0.02,0
18105,0.03,0.01,0.02
18107,0.01,0.01,0.01
18109,0,0,0
18111,0,0,0
18113,0,0,0
18115,0,0.01,0.03
18117,0.01,0.01,0.02
18119,0,0,0.01
18121,0.02,0,0.01
18123,0.02,0,0.01
18125,0,0,0.01
18127,0.03,0,0
18129,0.01,0.01,0.04
18131,0.01,0,0
18133,0.04,0.02,0.01
18135,0,0,0.01
18137,0,0,0
18139,0.01,0.01,0.02
18141,0.13,0.06,0.01
18143,0,0,0
18145,0.01,0.01,0.02
18147,0,0.01,0.04
18149,0,0,0
18151,0.01,0,0
18153,0.04,0,0
18155,0,0,0
18157,0.04,0.01,0.01
18159,0,0,0
18161,0,0.01,0.02
18163,0.09,0.06,0.08
18165,0,0,0.01
18167,0.07,0.04,0.04
18169,0,0,0.01
18171,0,0,0
18173,0.01,0.01,0.02
18175,0,0,0
18177,0.05,0.05,0.04
18179,0,0,0
18181,0,0,0
18183,0,0,0
19001,0,0,0
19003,0,0,0
19005,0.01,0,0
19007,0,0.01,0.02
19009,0,0,0
19011,0,0,0
19013,0.09,0.04,0
19015,0.01,0,0
19017,0.01,0,0
19019,0,0,0
19021,0.03,0,0
19023,0,0,0
19025,0,0,0
19027,0,0,0
19029,0,0,0
19031,0,0,0
19033,0.01,0,0.01
19035,0.01,0,0
19037,0,0,0
19039,0,0,0
19041,0,0,0
19043,0,0,0
19045,0.03,0.01,0.01
19047,0.01,0,0
19049,0.01,0,0.01
19051,0,0,0
19053,0.02,0,0
19055,0,0,0
19057,0.05,0.01,0.01
19059,0,0,0
19061,0.03,0,0
19063,0.01,0,0
19065,0.01,0,0
19067,0.01,0,0
19069,0,0,0
19071,0.01,0,0
19073,0,0,0
19075,0,0,0
19077,0,0,0
19079,0,0,0
19081,0,0,0
19083,0.01,0,0
19085,0,0,0
19087,0.02,0.01,0.01
19089,0,0,0
19091,0,0,0
19093,0,0,0
19095,0,0,0
19097,0,0,0
19099,0.01,0,0.01
19101,0.01,0,0
19103,0.05,0.01,0
19105,0.02,0,0
19107,0,0,0
19109,0,0,0
19111,0.03,0.02,0.04
19113,0.04,0.01,0
19115,0.01,0,0
19117,0,0,0.01
19119,0,0,0
19121,0,0,0
19123,0.01,0,0.02
19125,0.01,0,0
19127,0.02,0.01,0
19129,0,0,0
19131,0,0,0
19133,0,0,0
19135,0,0.01,0.09
19137,0,0,0
19139,0.01,0,0
19141,0,0,0
19143,0,0,0
19145,0.02,0,0.01
19147,0,0,0
19149,0,0,0
19151,0,0,0
19153,0.06,0.04,0.03
19155,0.01,0.01,0.01
19157,0.01,0,0
19159,0,0,0
19161,0,0,0
19163,0.07,0.02,0.01
19165,0,0,0
19167,0,0,0
19169,0.02,0,0
19171,0,0,0
19173,0,0,0
19175,0.01,0,0
19177,0,0,0
19179,0.01,0.01,0.02
19181,0,0,0
19183,0.01,0,0.01
19185,0,0,0
19187,0.04,0.01,0
19189,0.01,0,0
19191,0.01,0,0
19193,0.02,0.01,0
19195,0,0,0
19197,0,0,0
21001,0.03,0.05,0.09
21003,0.01,0.02,0.06
21005,0.02,0.04,0.07
21007,0.03,0.05,0.12
21009,0.04,0.07,0.14
21011,0.01,0.05,0.1
21013,0.02,0.04,0.1
21015,0.03,0.01,0.05
21017,0.06,0.14,0.32
21019,0.03,0.02,0.04
21021,0.07,0.11,0.28
21023,0,0.01,0.03
21025,0,0,0.01
21027,0.02,0.05,0.08
21029,0.01,0.01,0.07
21031,0,0.01,0.04
21033,0.05,0.07,0.18
21035,0.04,0.03,0.05
21037,0.03,0.01,0.01
21039,0.01,0.01,0.04
21041,0.02,0.03,0.07
21043,0.01,0,0.01
21045,0.01,0,0.02
21047,0.21,0.22,0.41
21049,0.05,0.09,0.25
21051,0.04,0.02,0.03
21053,0,0,0.01
21055,0.01,0.01,0.04
21057,0.03,0.06,0.1
21059,0.05,0.04,0.13
21061,0.01,0.01,0.04
21063,0.03,0,0
21065,0,0,0.01
21067,0.15,0.15,0.31
21069,0.01,0.03,0.06
21071,0.01,0.01,0.01
21073,0.1,0.08,0.18
21075,0.24,0.18,0.24
21077,0.01,0.03,0.06
21079,0.02,0.09,0.19
21081,0.01,0.01,0.03
21083,0.04,0.05,0.09
21085,0.01,0.01,0.02
21087,0.02,0.05,0.11
21089,0.01,0.01,0.01
21091,0.01,0.03,0.07
21093,0.12,0.07,0.08
21095,0.02,0.08,0.05
21097,0.02,0.04,0.1
21099,0.05,0.11,0.11
21101,0.08,0.1,0.23
21103,0.03,0.08,0.13
21105,0.09,0.12,0.15
21107,0.07,0.09,0.19
21109,0,0,0
21111,0.21,0.13,0.17
21113,0.03,0.09,0.23
21115,0,0,0
21117,0.05,0.03,0.05
21119,0.01,0.01,0.01
21121,0.01,0.02,0.05
21123,0.03,0.05,0.07
21125,0.01,0.01,0.03
21127,0,0,0.01
21129,0.02,0.01,0.02
21131,0,0,0.01
21133,0,0.02,0
21135,0,0,0.01
21137,0.02,0.06,0.17
21139,0,0.01,0.06
21141,0.07,0.11,0.21
21143,0.05,0.09,0.19
21145,0.11,0.11,0.23
21147,0.06,0,NULL
21149,0.01,0.01,0.06
21151,0.04,0.08,0.21
21153,0,0,0
21155,0.08,0.08,0.14
21157,0,0,0.01
