"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
13015,851.25,195.44,158.48,196.88,722.69
13017,981.62,102.2,163.7,333.84,921.06
13019,558.38,42.69,189.27,131.54,314.82
13021,868.31,245.6,281.83,357.23,522.67
13023,678.17,30.24,114.96,519.94,991.64
13025,709.75,56.27,84.53,117.15,199.2
13027,644.42,51.88,120.54,478.17,458.77
13029,227.82,51.44,56.2,68.35,279.93
13031,410.74,328.12,281.01,587.47,586.29
13033,912.99,100.33,142.27,461.36,632.78
13035,670.63,0,90.58,231.77,409.29
13037,431.03,28.21,1308.85,436.68,182.77
13039,326.92,149.37,115.11,317.9,315.86
13043,368.03,0,165.18,303.72,375.81
13045,864.45,303.15,412.07,601.93,811.45
13047,436.61,90.13,77.64,159.38,262.5
13049,0,0,0,410.43,0
13051,775.92,251.94,201.81,512.75,821.27
13053,0,0,0,0,0
13055,304.43,423.66,103.45,300.99,298.6
13057,395.52,136.17,67,125.91,248.95
13059,600.6,170.43,270.76,453.48,611.52
13061,407.63,0,0,506.06,271.35
13063,961.86,77.05,132.11,452.79,775.12
13065,208.43,109.14,24.25,107.12,334.45
13067,353.26,169.04,138.41,298.95,471.01
13069,670.49,185.53,193.33,461.72,429.48
13071,1434.5,159.09,683.4,1044.99,938.95
13073,283.85,51,40.98,172.35,197.25
13075,882.74,557.18,161.07,390.34,169.54
13077,598.66,458.39,621.57,451.9,680.06
13079,169.18,278.72,321.58,261.94,110.65
13081,626.89,171.72,198.57,707.92,1072.17
13083,405.62,0,46.62,280.73,581.79
13085,1007.85,178.97,209.19,293.62,683.29
13087,1891.44,337.16,648.86,1252.11,1583.47
13089,511.01,73.5,129.28,335.79,497.67
13091,500.11,64.05,76.85,279.96,340.59
13093,430.81,85.41,163.83,707.43,659.7
13095,1264.42,152.99,277.33,682.05,1308.6
13097,785.9,0,255.82,621.41,704.94
13099,665.12,184.5,251.59,563.86,735.98
13101,790.52,192.59,190.77,476.71,727.01
13103,720.49,74.28,412.83,456.93,619.03
13105,388.32,172.7,93.51,303.36,484.3
13107,336.02,135.65,85.38,168.98,76.48
13109,309.73,139.24,100.78,145.33,184.86
13111,382.34,48.56,40.54,189.22,323.31
13113,364.19,651.7,48.59,134.32,309.53
13115,1755.96,328.52,309.95,744.2,1451.03
13117,149.31,28.07,134.92,203.58,233.93
13119,535.83,188.89,145.66,189.88,467.5
13121,418.86,462.77,421.27,790.3,766.04
