"point_id","x","y","slaves_1860","total_1860"
317,-1410056,1312842,"",1.78865
318,-1384610,1312842,"",1.78865
319,-1359164,1312842,"",1.78865
320,-1333718,1312842,"",1.78865
321,-1308272,1312842,"",1.78865
322,-1282826,1312842,"",0.71434
323,-1257380,1312842,"",""
324,-1231934,1312842,"",""
325,-1206488,1312842,"",""
326,-1181042,1312842,"",""
327,-1155596,1312842,"",""
328,-1130150,1312842,"",""
329,-1104704,1312842,"",""
330,-1079258,1312842,"",""
331,-1053813,1312842,"",""
332,-1028367,1312842,"",""
333,-1002921,1312842,"",""
334,-977475,1312842,"",""
335,-952029,1312842,"",""
336,-926583,1312842,"",""
337,-901137,1312842,"",""
338,-875691,1312842,"",""
339,-850245,1312842,"",""
340,-824799,1312842,"",""
341,-799353,1312842,"",""
342,-773907,1312842,"",""
343,-748461,1312842,"",""
344,-723015,1312842,"",""
345,-697569,1312842,"",""
346,-672123,1312842,"",""
347,-646677,1312842,"",""
348,-621231,1312842,"",""
349,-595785,1312842,"",""
350,-570339,1312842,"",""
351,-544893,1312842,"",""
352,-519447,1312842,"",""
353,65810,1312842,"",29.2464
354,91256,1312842,"",14.8646
355,1974257,1312842,"",352.289
356,1999703,1312842,"",822.864
357,2025149,1312842,"",823.934
358,2050595,1312842,"",832.45
359,2076041,1312842,"",823.065
360,2101487,1312842,"",822.864
361,2126932,1312842,"",822.864
362,2152378,1312842,"",157.887
363,-2147989,1287396,"",0.946888
364,-2122543,1287396,"",86.4777
365,-2097097,1287396,"",89.7831
366,-2071651,1287396,"",115.838
367,-2046205,1287396,"",133.114
368,-2020759,1287396,"",92.9046
369,-1995313,1287396,"",48.4365
370,-1969867,1287396,"",66.0826
371,-1944421,1287396,"",155.816
372,-1918975,1287396,"",49.8175
373,-1893529,1287396,"",14.2766
374,-1868083,1287396,"",14.2766
375,-1842637,1287396,"",14.2766
376,-1817191,1287396,"",9.37509
377,-1791745,1287396,"",1.78865
